	s	c	o	f	n
GCF_000266945.1_ASM26694v1_protein.faa.named.faa	0.5	0.23	0.52	0.76	0.7
GCF_000194745.1_ASM19474v1_protein.faa.named.faa	0.13	0.04	0.41	0.42	0.77
GCF_001647715.1_ASM164771v1_protein.faa.named.faa	0.17	0.03	0.44	0.51	0.72
GCF_000828715.1_ASM82871v1_protein.faa.named.faa	0.29	0.02	0.35	0.31	0.37
GCF_000023405.1_ASM2340v1_protein.faa.named.faa	0.02	0.01	0.32	0.26	0.5
GCF_000012965.1_ASM1296v1_protein.faa.named.faa	0.47	0.07	0.33	0.68	0.58
GCF_000236685.1_ASM23668v1_protein.faa.named.faa	0.08	0.08	0.24	0.18	0.3
GCF_001484935.1_ASM148493v1_protein.faa.named.faa	0.1	0.05	0.17	0.19	0.57
GCF_001308105.1_ASM130810v1_protein.faa.named.faa	0.01	0.07	0.34	0.59	0.59
GCF_000284315.1_ASM28431v1_protein.faa.named.faa	0.26	0.12	0.58	0.65	0.65
GCF_000147875.1_ASM14787v1_protein.faa.named.faa	0.26	0.84	0.44	0.04	0.44
GCF_000287335.1_ASM28733v1_protein.faa.named.faa	0.13	0.03	0.21	0.12	0.34
GCF_000632395.1_ASM63239v1_protein.faa.named.faa	0.12	0.07	0.2	0.2	0.62
GCF_000009085.1_ASM908v1_protein.faa.named.faa	0.29	0.05	0.23	0.72	0.55
GCF_000612505.1_ASM61250v1_protein.faa.named.faa	0.26	0.08	0.59	0.38	0.63
GCF_000963495.1_ASM96349v1_protein.faa.named.faa	0.1	0.05	0.41	0.64	0.75
GCF_000014965.1_ASM1496v1_protein.faa.named.faa	0.62	0.17	0.4	0.68	0.6
GCF_000317835.1_ASM31783v1_protein.faa.named.faa	0.08	0.03	0.35	0.3	0.66
GCF_000565215.1_ASM56521v1_protein.faa.named.faa	0.11	0.03	0.01	0.02	0.01
GCF_000067165.1_ASM6716v1_protein.faa.named.faa	0.3	0.06	0.32	0.67	0.73
GCF_000231385.2_ASM23138v3_protein.faa.named.faa	0.54	0.26	0.44	0.65	0.65
GCF_000022105.1_ASM2210v1_protein.faa.named.faa	0.05	0.01	0.01	0.16	0.22
GCF_001598035.1_ASM159803v1_protein.faa.named.faa	0.19	0.0	0.01	0.32	0.03
GCF_001280205.1_ASM128020v1_protein.faa.named.faa	0.32	0.0	0.28	0.24	0.48
GCF_000259255.1_ASM25925v1_protein.faa.named.faa	0.19	0.03	0.1	0.71	0.42
GCF_000270205.1_ASM27020v1_protein.faa.named.faa	0.04	0.04		0.06	0.07
GCF_001606025.1_ASM160602v1_protein.faa.named.faa	0.06	0.04	0.24	0.38	0.61
GCF_000013625.1_ASM1362v1_protein.faa.named.faa	0.04	0.05	0.28	0.52	0.73
GCF_000931465.1_ASM93146v1_protein.faa.named.faa	0.11	0.04	0.42	0.54	0.72
GCF_000525655.1_ASM52565v1_protein.faa.named.faa	0.42	0.01	0.34	0.32	0.43
GCF_000736415.1_ASM73641v1_protein.faa.named.faa	0.35	0.05	0.23	0.76	0.52
GCF_001278845.1_ASM127884v1_protein.faa.named.faa	0.07	0.03	0.04	0.3	0.31
GCF_000235685.2_ASM23568v3_protein.faa.named.faa	0.33	0.8	0.39	0.1	0.49
GCF_000092985.1_ASM9298v1_protein.faa.named.faa	0.2	0.03	0.32	0.22	0.68
GCF_000230715.2_ASM23071v3_protein.faa.named.faa	0.2	0.1	0.16	0.25	0.51
GCF_000183665.1_ASM18366v1_protein.faa.named.faa	0.01	0.0	0.15	0.07	0.3
GCF_000226625.1_ASM22662v1_protein.faa.named.faa	0.02	0.02	0.1	0.4	0.43
GCF_001277995.1_ASM127799v1_protein.faa.named.faa	0.22	0.01	0.42	0.23	0.41
GCF_000014425.1_ASM1442v1_protein.faa.named.faa	0.17	0.01	0.08	0.32	0.05
GCF_000230275.1_ASM23027v1_protein.faa.named.faa	0.05	0.01		0.08	0.19
GCF_000192845.1_ASM19284v1_protein.faa.named.faa	0.02	0.03	0.31	0.49	0.7
GCF_000284115.1_ASM28411v1_protein.faa.named.faa	0.03	0.04	0.4	0.33	0.58
GCF_000190555.1_ASM19055v1_protein.faa.named.faa	0.16	0.02	0.26	0.35	0.5
GCF_000512355.1_ASM51235v1_protein.faa.named.faa	0.05	0.03	0.17	0.33	0.48
GCF_000235605.1_ASM23560v1_protein.faa.named.faa	0.54	0.28	0.31	0.55	0.62
GCF_000021825.1_ASM2182v1_protein.faa.named.faa	0.21	0.13	0.64	0.37	0.76
GCF_000348785.1_ASM34878v1_protein.faa.named.faa	0.09	0.12	0.34	0.33	0.69
GCF_000143225.1_ASM14322v1_protein.faa.named.faa	0.04	0.06	0.57	0.48	0.8
GCF_000011145.1_ASM1114v1_protein.faa.named.faa	0.07	0.03	0.37	0.36	0.55
GCF_000069225.1_ASM6922v1_protein.faa.named.faa	0.47	0.17	0.21	0.24	0.4
GCF_000831485.1_ASM83148v1_protein.faa.named.faa	0.32	0.15		0.08	0.06
GCF_000014025.1_ASM1402v1_protein.faa.named.faa	0.25	0.07	0.26	0.76	0.59
GCF_000299235.1_ASM29923v1_protein.faa.named.faa	0.28	0.09	0.34	0.51	0.54
GCF_000025705.1_ASM2570v1_protein.faa.named.faa	0.5	0.09	0.47	0.87	0.71
GCF_000400635.2_ASM40063v2_protein.faa.named.faa	0.35	0.03	0.33	0.26	0.72
GCF_000013705.1_ASM1370v1_protein.faa.named.faa	0.03	0.18	0.51	0.17	0.68
GCF_000316625.1_ASM31662v1_protein.faa.named.faa	0.17	0.12	0.63	0.37	0.8
GCF_000152265.2_ASM15226v2_protein.faa.named.faa	0.27	0.02	0.18	0.18	0.49
GCF_000009925.1_ASM992v1_protein.faa.named.faa	0.01	0.05	0.02	0.49	0.34
GCF_000195895.1_ASM19589v1_protein.faa.named.faa	0.35	0.91	0.48	0.04	0.47
GCF_001586215.1_ASM158621v1_protein.faa.named.faa	0.0	0.0	0.26	0.3	0.43
GCF_000020325.1_ASM2032v1_protein.faa.named.faa	0.41	0.05	0.33	0.66	0.6
GCF_000816245.1_ASM81624v1_protein.faa.named.faa	0.28	0.03	0.2	0.73	0.47
GCF_000193595.2_ASM19359v3_protein.faa.named.faa	0.26	0.04	0.29	0.33	0.7
GCF_000441555.1_ASM44155v1_protein.faa.named.faa	0.04	0.03	0.19	0.08	0.28
GCF_000015885.1_ASM1588v1_protein.faa.named.faa	0.24	0.05	0.06	0.45	0.36
GCF_000015245.1_ASM1524v1_protein.faa.named.faa	0.16	0.05	0.27	0.96	0.53
GCF_000185885.1_ASM18588v1_protein.faa.named.faa	0.04	0.01	0.23	0.19	0.45
GCF_000341395.1_ASM34139v1_protein.faa.named.faa	0.6	0.19	0.39	0.6	0.6
GCF_000016885.1_ASM1688v1_protein.faa.named.faa	0.16	0.04	0.26	0.82	0.6
GCF_000310105.2_ASM31010v2_protein.faa.named.faa	0.16	0.02	0.35	0.64	0.52
GCF_001187505.1_ASM118750v1_protein.faa.named.faa	0.05	0.04	0.43	0.22	0.7
GCF_000212415.1_ASM21241v1_protein.faa.named.faa	0.14	0.1	0.34	0.07	0.29
GCF_000060345.1_ASM6034v1_protein.faa.named.faa	0.34	0.03	0.39	0.48	0.44
GCF_000317125.1_ASM31712v1_protein.faa.named.faa	0.17	0.09	0.67	0.42	0.83
GCF_001281405.1_ASM128140v1_protein.faa.named.faa	0.01	0.01	0.15	0.14	0.32
GCF_000018205.1_ASM1820v1_protein.faa.named.faa	0.01	0.01	0.17	0.4	0.29
GCF_000269925.1_ASM26992v1_protein.faa.named.faa	0.01	0.01	0.12	0.05	0.11
GCF_000184705.1_ASM18470v1_protein.faa.named.faa	0.14	0.03	0.36	0.36	0.55
GCF_000015965.1_ASM1596v1_protein.faa.named.faa	0.09	0.06	0.7	0.33	0.49
GCF_000218875.1_ASM21887v1_protein.faa.named.faa	0.18	0.07	0.49	0.36	0.44
GCF_000242935.2_ASM24293v3_protein.faa.named.faa	0.01	0.05	0.65	0.57	0.63
GCF_000293885.2_ASM29388v3_protein.faa.named.faa	0.14	0.04	0.42	0.49	0.75
GCF_000223215.1_ASM22321v1_protein.faa.named.faa	0.0	0.06	0.01	0.16	0.22
GCF_000224085.1_ASM22408v1_protein.faa.named.faa	0.24	0.02	0.22	0.5	0.43
GCF_000026125.1_ASM2612v1_protein.faa.named.faa	0.06	0.04	0.27	0.54	0.7
GCF_001430865.1_ASM143086v1_protein.faa.named.faa	0.16	0.37	0.23	0.33	0.26
GCF_001558415.1_ASM155841v1_protein.faa.named.faa	0.06	0.04	0.27	0.82	0.55
GCF_000336425.1_ASM33642v1_protein.faa.named.faa	0.06	0.05	0.34	0.59	0.69
GCF_000166355.1_ASM16635v1_protein.faa.named.faa	0.25	0.14	0.37	0.04	0.42
GCF_000022785.1_ASM2278v1_protein.faa.named.faa	0.0	0.01	0.17	0.4	0.31
GCF_000828975.1_ASM82897v1_protein.faa.named.faa	0.28	0.07	0.62	0.57	0.75
GCF_000981505.1_Candidatus_Methylopumilus_planktonicus_MMS-2-53_protein.faa.named.faa	0.07	0.07	0.4	0.41	0.56
GCF_000828835.1_ASM82883v1_protein.faa.named.faa	0.61	0.17	0.51	0.71	0.77
GCF_000227685.2_ASM22768v3_protein.faa.named.faa	0.6	0.05	0.32	0.75	0.73
GCF_000092265.1_ASM9226v1_protein.faa.named.faa	0.06	0.03	0.15	0.34	0.49
GCF_000265365.1_ASM26536v1_protein.faa.named.faa	0.04	0.08		0.04	0.28
GCF_000025545.1_ASM2554v1_protein.faa.named.faa	0.43	0.06	0.38	0.41	0.68
GCF_000317495.1_ASM31749v1_protein.faa.named.faa	0.11	0.11	0.65	0.37	0.72
GCF_001278055.1_ASM127805v1_protein.faa.named.faa	0.24	0.12	0.5	0.85	0.66
GCF_000306805.1_ASM30680v1_protein.faa.named.faa	0.01	0.0	0.09	0.01	0.08
GCF_000020685.1_ASM2068v1_protein.faa.named.faa	0.06	0.02	0.33	0.29	0.68
GCF_000511355.1_ASM51135v1_protein.faa.named.faa	0.1	0.06	0.32	0.61	0.74
GCF_001455205.1_ASM145520v1_protein.faa.named.faa	0.09	0.03	0.34	0.69	0.66
GCF_000010825.1_ASM1082v1_protein.faa.named.faa	0.08	0.04	0.3	0.62	0.64
GCF_000280925.3_ASM28092v3_protein.faa.named.faa	0.01	0.05	0.35	0.5	0.73
GCF_001634365.1_ASM163436v1_protein.faa.named.faa	0.07	0.06	0.35	0.6	0.71
GCF_000259175.1_ASM25917v1_protein.faa.named.faa	0.1	0.06	0.2	0.56	0.59
GCF_000023645.1_ASM2364v1_protein.faa.named.faa	0.32	0.11	0.46	0.89	0.69
GCF_001655245.1_ASM165524v1_protein.faa.named.faa	0.06	0.04	0.43	0.23	0.7
GCF_000192635.1_ASM19263v1_protein.faa.named.faa	0.32	0.03	0.33	0.36	0.71
GCF_000215325.1_ASM21532v1_protein.faa.named.faa	0.05	0.04	0.3	0.41	0.72
GCF_001294625.1_ASM129462v1_protein.faa.named.faa	0.21	0.0	0.45	0.26	0.57
GCF_000165835.1_ASM16583v1_protein.faa.named.faa	0.08	0.04	0.33	0.59	0.77
GCF_000829375.1_ASM82937v1_protein.faa.named.faa	0.13	0.01	0.2	0.23	0.46
GCF_900011245.1_BF49.v1_protein.faa.named.faa	0.06	0.05	0.45	0.78	0.78
GCF_001483965.1_ASM148396v1_protein.faa.named.faa	0.33	0.19	0.06	0.4	0.09
GCF_000012825.1_ASM1282v1_protein.faa.named.faa	0.01	0.09	0.08	0.16	0.34
GCF_000284275.1_ASM28427v1_protein.faa.named.faa	0.01	0.07	0.69	0.8	0.87
GCF_000807175.1_ASM80717v1_protein.faa.named.faa	0.18	0.11	0.38	0.15	0.52
GCF_000015045.1_ASM1504v1_protein.faa.named.faa	0.3	0.1	0.41	0.44	0.53
GCF_000143145.1_ASM14314v1_protein.faa.named.faa	0.09	0.19	0.4	0.39	0.72
GCF_000264495.1_ASM26449v1_protein.faa.named.faa	0.29	0.06		0.03	0.25
GCF_000091465.1_ASM9146v1_protein.faa.named.faa	0.05	0.03	0.34	0.8	0.54
GCF_000148935.1_ASM14893v1_protein.faa.named.faa	0.02	0.05	0.36	0.48	0.68
GCF_000706685.1_ASM70668v1_protein.faa.named.faa	0.1	0.01	0.23	0.19	0.41
GCF_001187595.1_ASM118759v1_protein.faa.named.faa	0.25	0.06	0.32	0.75	0.53
GCF_000144625.1_ASM14462v1_protein.faa.named.faa	0.06	0.04	0.13	0.11	0.35
GCF_001304795.1_ASM130479v1_protein.faa.named.faa	0.38	0.08	0.6	0.59	0.69
GCF_000093145.3_ASM9314v2_protein.faa.named.faa	0.06	0.04	0.32	0.74	0.75
GCF_001305595.1_ASM130559v1_protein.faa.named.faa	0.1	0.2	0.53	0.78	0.83
GCF_001511815.1_TUE45_protein.faa.named.faa	0.13	0.04	0.34	0.26	0.72
GCF_000018325.1_ASM1832v1_protein.faa.named.faa	0.15	0.04	0.13	0.22	0.33
GCF_000385565.1_ASM38556v1_protein.faa.named.faa	0.58	0.4	0.33	0.18	0.48
GCF_000190535.1_ASM19053v1_protein.faa.named.faa	0.08	0.04		0.11	0.33
GCF_000021025.1_ASM2102v1_protein.faa.named.faa	0.04	0.03	0.28	0.72	0.65
GCF_000021685.1_ASM2168v1_protein.faa.named.faa	0.13	0.06	0.25	0.28	0.6
GCF_000178835.2_ASM17883v2_protein.faa.named.faa	0.03	0.06	0.58	0.08	0.39
GCF_000016285.1_ASM1628v1_protein.faa.named.faa	0.33	0.03	0.37	0.35	0.71
GCF_000504105.1_ASM50410v1_protein.faa.named.faa	0.19	0.02	0.02	0.05	0.2
GCF_000993825.1_ASM99382v1_protein.faa.named.faa	0.23	0.07	0.51	0.36	0.6
GCF_000441535.1_ASM44153v1_protein.faa.named.faa	0.12	0.0	0.12	0.08	0.12
GCF_000724605.1_ASM72460v1_protein.faa.named.faa	0.22	0.02		0.07	0.17
GCF_000189535.1_ASM18953v1_protein.faa.named.faa	0.28	0.03	0.31	0.22	0.59
GCF_000012425.1_ASM1242v1_protein.faa.named.faa	0.22	0.12	0.6	0.99	0.78
GCF_000316645.1_ASM31664v1_protein.faa.named.faa	0.16	0.16	0.7	0.38	0.77
GCF_000265525.1_ASM26552v1_protein.faa.named.faa	0.49	0.12		0.01	0.28
GCF_001518815.1_ASM151881v1_protein.faa.named.faa	0.01	0.06	0.31	0.5	0.69
GCF_000025885.1_ASM2588v1_protein.faa.named.faa	0.2	0.08		0.11	0.22
GCF_000015705.1_ASM1570v1_protein.faa.named.faa	0.16	0.04	0.69	0.31	0.56
GCF_000284335.1_ASM28433v1_protein.faa.named.faa	0.2	0.02		0.11	0.29
GCF_000211375.1_ASM21137v1_protein.faa.named.faa	0.26	0.11	0.03	0.23	0.09
GCF_000020125.1_ASM2012v1_protein.faa.named.faa	0.11	0.04	0.43	0.48	0.73
GCF_000025645.1_ASM2564v1_protein.faa.named.faa	0.21	0.06	0.25	0.08	0.34
GCF_000024265.1_ASM2426v1_protein.faa.named.faa	0.34	0.06		0.41	0.37
GCF_000010145.1_ASM1014v1_protein.faa.named.faa	0.04	0.01	0.14	0.11	0.14
GCF_000023385.1_ASM2338v1_protein.faa.named.faa	0.17	0.05	0.33	0.38	0.59
GCF_000214095.2_ASM21409v3_protein.faa.named.faa	0.43	0.09	0.61	0.48	0.69
GCF_000017265.1_ASM1726v1_protein.faa.named.faa	0.02	0.07	0.31	0.54	0.69
GCF_000190595.1_ASM19059v1_protein.faa.named.faa	0.21	0.01	0.33	0.41	0.51
GCF_000022045.1_ASM2204v1_protein.faa.named.faa	0.2	0.1	0.71	0.39	0.74
GCF_000266905.1_ASM26690v1_protein.faa.named.faa	0.16	0.05	0.34	0.24	0.79
GCF_000577275.1_LPU83_protein.faa.named.faa	0.19	0.03	0.33	0.72	0.74
GCF_001553685.1_ASM155368v1_protein.faa.named.faa	0.2	0.16	0.02	0.02	0.1
GCF_000022905.1_ASM2290v1_protein.faa.named.faa	0.07	0.05	0.23	0.31	0.39
GCF_000217815.1_ASM21781v1_protein.faa.named.faa	0.15	0.04	0.04	0.05	0.25
GCF_000739375.1_ASM73937v1_protein.faa.named.faa	0.07	0.04	0.32	0.54	0.73
GCF_000023225.1_ASM2322v1_protein.faa.named.faa	0.62	0.15	0.56	0.75	0.62
GCF_000008625.1_ASM862v1_protein.faa.named.faa	0.44	0.07	0.44	0.67	0.58
GCF_001007995.1_ASM100799v1_protein.faa.named.faa	0.03	0.03	0.36	0.35	0.62
GCF_000013385.1_ASM1338v1_protein.faa.named.faa	0.33	0.04	0.28	0.76	0.69
GCF_000756715.1_PRJEB5505_assembly_1_protein.faa.named.faa	0.18	0.29	0.2	0.34	0.37
GCF_001420915.1_ASM142091v1_protein.faa.named.faa	0.02	0.05	0.64	0.37	0.57
GCF_000504125.1_ASM50412v1_protein.faa.named.faa	0.01	0.0	0.12	0.0	0.11
GCF_000224005.2_ASM22400v3_protein.faa.named.faa	0.3	0.13	0.46	0.75	0.7
GCF_000147335.1_ASM14733v1_protein.faa.named.faa	0.04	0.14	0.67	0.4	0.79
GCF_000012745.1_ASM1274v1_protein.faa.named.faa	0.69	0.07	0.44	0.38	0.66
GCF_000190435.1_ASM19043v1_protein.faa.named.faa	0.13	0.06	0.13	0.07	0.2
GCF_000013045.1_ASM1304v1_protein.faa.named.faa	0.02	0.02	0.24	0.29	0.47
GCF_000241385.1_ASM24138v1_protein.faa.named.faa	0.12	0.06	0.51	0.93	0.68
GCF_001548075.1_ASM154807v1_protein.faa.named.faa	0.26	0.09	0.65	0.53	0.72
GCF_000255355.1_ASM25535v1_protein.faa.named.faa	0.03	0.02	0.09	0.35	0.27
GCF_000222835.1_ASM22283v1_protein.faa.named.faa	0.12	0.05	0.05	0.13	0.03
GCF_000026025.1_ASM2602v1_protein.faa.named.faa	0.06	0.14	0.02	0.06	0.07
GCF_000834255.1_ASM83425v1_protein.faa.named.faa	0.02	0.05	0.27	0.6	0.66
GCF_000219805.1_ASM21980v1_protein.faa.named.faa	0.12	0.0	0.05	0.63	0.04
GCF_000214665.1_ASM21466v1_protein.faa.named.faa	0.2	0.22	0.71	0.54	0.79
GCF_000016645.1_ASM1664v1_protein.faa.named.faa	0.03	0.04	0.33	0.45	0.72
GCF_000513475.1_Bbla_protein.faa.named.faa	0.14	0.01	0.05	0.01	0.03
GCF_000233435.1_ASM23343v1_protein.faa.named.faa	0.06	0.03	0.25	0.28	0.18
GCF_000008985.1_ASM898v1_protein.faa.named.faa	0.01	0.02	0.11	0.16	0.35
GCF_000252995.1_ASM25299v1_protein.faa.named.faa	0.23	0.06	0.26	0.54	0.65
GCF_000958465.1_ASM95846v1_protein.faa.named.faa	0.48	0.18	0.21	0.22	0.4
GCF_000069925.1_ASM6992v1_protein.faa.named.faa	0.03	0.1	0.02	0.03	0.02
GCF_000151205.2_ASM15120v2_protein.faa.named.faa	0.33	0.07		0.02	0.29
GCF_000021965.1_ASM2196v1_protein.faa.named.faa	0.31	0.85	0.42	0.11	0.52
GCF_000197735.1_ASM19773v1_protein.faa.named.faa	0.0	0.01	0.32	0.22	0.57
GCF_001280305.1_ASM128030v1_protein.faa.named.faa	0.15	0.02	0.29	0.37	0.58
GCF_000279165.1_ASM27916v1_protein.faa.named.faa	0.08	0.04	0.4	0.8	0.73
GCF_001412575.1_ASM141257v1_protein.faa.named.faa	0.04	0.07	0.49	0.54	0.73
GCF_000011685.1_ASM1168v1_protein.faa.named.faa	0.08	0.03	0.4	0.67	0.48
GCF_000144915.1_ASM14491v1_protein.faa.named.faa	0.34	0.02		0.07	0.38
GCF_000010165.1_ASM1016v1_protein.faa.named.faa	0.12	0.03	0.36	0.36	0.66
GCF_000015125.1_ASM1512v1_protein.faa.named.faa	0.52	0.13	0.45	0.55	0.56
GCF_000521655.1_ASM52165v1_protein.faa.named.faa	0.14	0.04	0.08	0.45	0.34
GCF_000007325.1_ASM732v1_protein.faa.named.faa	0.02	0.03	0.18	0.06	0.2
GCF_000009725.1_ASM972v1_protein.faa.named.faa	0.27	0.1	0.71	0.4	0.68
GCF_000020145.1_ASM2014v1_protein.faa.named.faa	0.13	0.02		0.07	0.28
GCF_000008245.1_ASM824v1_protein.faa.named.faa	0.11	0.14	0.0	0.15	0.24
GCF_000214825.1_ASM21482v1_protein.faa.named.faa	0.17	0.06	0.29	0.34	0.61
GCF_000010805.1_ASM1080v1_protein.faa.named.faa	0.06	0.08	0.33	0.22	0.72
GCF_000006625.1_ASM662v1_protein.faa.named.faa	0.12	0.14	0.0	0.03	0.24
GCF_001029265.1_ASM102926v1_protein.faa.named.faa	0.01	0.07	0.0	0.09	0.04
GCF_000217675.1_ASM21767v1_protein.faa.named.faa	0.12	0.04	0.25	0.77	0.49
GCF_000010585.1_ASM1058v1_protein.faa.named.faa	0.02	0.1	0.27	0.38	0.45
GCF_000262325.2_ASM26232v2_protein.faa.named.faa	0.06	0.04	0.42	0.52	0.73
GCF_000024205.1_ASM2420v1_protein.faa.named.faa	0.58	0.2	0.35	0.12	0.5
GCF_000009885.1_ASM988v1_protein.faa.named.faa	0.08	0.07	0.25	0.36	0.67
GCF_000193205.1_ASM19320v1_protein.faa.named.faa	0.31	0.07	0.01	0.24	0.1
GCF_000025365.1_ASM2536v1_protein.faa.named.faa	0.1	0.14	0.0	0.02	0.0
GCF_000834215.1_ASM83421v1_protein.faa.named.faa	0.14	0.06	0.43	0.6	0.74
GCF_000026045.1_ASM2604v1_protein.faa.named.faa	0.16	0.12	0.31	0.22	0.58
GCF_000025025.1_ASM2502v1_protein.faa.named.faa	0.33	0.13	0.11	0.15	0.37
GCF_000183405.1_ASM18340v1_protein.faa.named.faa	0.34	0.1	0.31	0.54	0.56
GCF_000590925.1_ASM59092v1_protein.faa.named.faa	0.14	0.06	0.57	0.45	0.7
GCF_000186345.1_ASM18634v1_protein.faa.named.faa	0.27	0.18	0.35	0.64	0.64
GCF_000261345.2_ASM26134v2_protein.faa.named.faa	0.17	0.02	0.32	0.21	0.7
GCF_000830005.1_ASM83000v1_protein.faa.named.faa	0.13	0.04	0.41	0.19	0.72
GCF_000091665.1_ASM9166v1_protein.faa.named.faa	0.35	0.89	0.48	0.03	0.36
GCF_000498975.2_ASM49897v2_protein.faa.named.faa	0.07	0.04	0.35	0.48	0.69
GCF_000224105.1_ASM22410v1_protein.faa.named.faa	0.14	0.02	0.04	0.03	0.0
GCF_000317515.1_ASM31751v1_protein.faa.named.faa	0.16	0.14	0.67	0.37	0.81
GCF_000008605.1_ASM860v1_protein.faa.named.faa	0.04	0.03	0.05	0.02	0.05
GCF_000215705.1_ASM21570v1_protein.faa.named.faa	0.02	0.05	0.32	0.36	0.72
GCF_000970045.1_ASM97004v1_protein.faa.named.faa	0.34	0.92	0.41	0.21	0.51
GCF_000195515.1_ASM19551v1_protein.faa.named.faa	0.1	0.01	0.32	0.34	0.56
GCF_000689415.1_PKB13_protein.faa.named.faa	0.12	0.05	0.34	0.76	0.72
GCF_000092425.1_ASM9242v1_protein.faa.named.faa	0.09	0.04	0.39	0.39	0.66
GCF_000236705.1_ASM23670v1_protein.faa.named.faa	0.19	0.12	0.23	0.39	0.3
GCF_000013145.1_ASM1314v1_protein.faa.named.faa	0.03	0.02	0.17	0.38	0.33
GCF_000018665.1_ASM1866v1_protein.faa.named.faa	0.01	0.04	0.33	0.48	0.74
GCF_000020445.1_ASM2044v1_protein.faa.named.faa	0.15	0.12	0.71	0.86	0.81
GCF_000233915.3_ASM23391v4_protein.faa.named.faa	0.33	0.02	0.3	0.9	0.65
GCF_001590615.1_ASM159061v1_protein.faa.named.faa	0.06	0.02	0.22	0.49	0.53
GCF_000008885.1_ASM888v1_protein.faa.named.faa	0.09	0.22	0.17	0.1	0.11
GCF_000009905.1_ASM990v1_protein.faa.named.faa	0.25	0.07	0.28	0.73	0.58
GCF_001294605.1_ASM129460v1_protein.faa.named.faa	0.16	0.04	0.37	0.23	0.66
GCF_001444445.1_ASM144444v1_protein.faa.named.faa	0.04	0.0		0.41	0.26
GCF_000213255.1_ASM21325v1_protein.faa.named.faa	0.13	0.06	0.06	0.09	0.27
GCF_000009805.1_ASM980v1_protein.faa.named.faa	0.2	0.03	0.31	0.19	0.68
GCF_000023965.1_ASM2396v1_protein.faa.named.faa	0.11	0.08	0.31	0.25	0.58
GCF_001307295.1_ASM130729v1_protein.faa.named.faa	0.07	0.04	0.32	0.67	0.69
GCF_000092785.1_ASM9278v1_protein.faa.named.faa	0.36	0.32	0.11	0.38	0.34
GCF_001293045.1_ASM129304v1_protein.faa.named.faa	0.01	0.17	0.3	0.5	0.74
GCF_000331995.1_ASM33199v1_protein.faa.named.faa	0.03	0.11	0.34	0.11	0.27
GCF_000007525.1_ASM752v1_protein.faa.named.faa	0.04	0.01	0.13	0.0	0.12
GCF_000403645.1_ASM40364v1_protein.faa.named.faa	0.24	0.1	0.26	0.25	0.54
GCF_000299965.1_ASM29996v1_protein.faa.named.faa	0.2	0.07	0.36	0.43	0.6
GCF_000019045.1_ASM1904v1_protein.faa.named.faa	0.09	0.04	0.37	0.4	0.47
GCF_000021725.1_ASM2172v1_protein.faa.named.faa	0.41	0.07	0.14	0.49	0.42
GCF_000021645.1_ASM2164v1_protein.faa.named.faa	0.25	0.07	0.1	0.06	0.23
GCF_000019745.1_ASM1974v1_protein.faa.named.faa	0.03	0.04	0.19	0.46	0.48
GCF_000010105.1_ASM1010v1_protein.faa.named.faa	0.04	0.03	0.35	0.23	0.7
GCF_000196695.1_ASM19669v1_protein.faa.named.faa	0.13	0.04	0.42	0.23	0.72
GCF_000325705.1_ASM32570v1_protein.faa.named.faa	0.05	0.02	0.25	0.63	0.52
GCF_000020225.1_ASM2022v1_protein.faa.named.faa	0.14	0.05	0.35	0.37	0.4
GCF_000143965.1_ASM14396v1_protein.faa.named.faa	0.57	0.2	0.35	0.69	0.51
GCF_001274535.1_ASM127453v1_protein.faa.named.faa	0.06	0.03	0.05	0.07	0.21
GCF_000484535.1_ASM48453v1_protein.faa.named.faa	0.14	0.09	0.6	0.31	0.73
GCF_000165505.1_ASM16550v1_protein.faa.named.faa	0.13	0.05	0.39	0.12	0.43
GCF_000022365.1_ASM2236v1_protein.faa.named.faa	0.32	0.12		0.01	0.26
GCF_000758625.1_ASM75862v1_protein.faa.named.faa	0.17	0.05	0.51	0.36	0.64
GCF_000725385.1_ASM72538v1_protein.faa.named.faa	0.08	0.04	0.26	0.75	0.7
GCF_000317695.1_ASM31769v1_protein.faa.named.faa	0.17	0.12	0.77	0.31	0.79
GCF_000176855.2_ASM17685v2_protein.faa.named.faa	0.14	0.05	0.27	0.4	0.7
GCF_001442535.1_ASM144253v1_protein.faa.named.faa	0.11	0.05	0.33	0.64	0.73
GCF_000973085.1_ASM97308v1_protein.faa.named.faa	0.01	0.0		0.08	0.03
GCF_000953475.1_MfumSolVChr1_protein.faa.named.faa	0.3	0.08	0.66	0.49	0.76
GCF_000024165.1_ASM2416v1_protein.faa.named.faa	0.21	0.09	0.54	0.98	0.72
GCF_000247565.1_ASM24756v1_protein.faa.named.faa	0.18	0.11	0.18	0.09	0.11
GCF_000340865.1_ASM34086v1_protein.faa.named.faa	0.03	0.04	0.07	0.05	0.25
GCF_000739435.1_ASM73943v1_protein.faa.named.faa	0.13	0.03	0.13	0.45	0.37
GCF_001484705.1_ASM148470v1_protein.faa.named.faa	0.22	0.02	0.33	0.26	0.7
GCF_000286435.2_ASM28643v2_protein.faa.named.faa	0.2	0.06	0.19	0.31	0.6
GCF_000959245.1_ASM95924v1_protein.faa.named.faa	0.19	0.05	0.3	0.57	0.75
GCF_001652485.1_ASM165248v1_protein.faa.named.faa	0.09	0.03	0.33	0.43	0.66
